Time (s),x,y,z,Absolute Field
0.04,-27.92,8.1,-52.11,59.67
1,-147.84,-11.08,-67.87,163.05
2,-151.97,-31.27,-151.57,216.9
3,-151.68,-31.41,-151.46,216.64
4,-151.73,-31.63,-151.59,216.8
5,-151.88,-31.13,-151.59,216.83
6,-151.71,-31.5,-151.21,216.51
7,-151.96,-31.4,-151.51,216.87
8,-152.16,-31.67,-151.82,217.27
9,-151.65,-31.62,-152.03,217.05
10,-152.3,-31.67,-151.74,217.31
,,,,
0.04,-20.65,12.22,-44.13,50.23
1,-31.57,24.19,-25.38,47.42
2,-19.77,25.48,-32.9,46.07
3,-19.49,25.2,-33.23,46.04
4,-19.67,24.87,-32.91,45.69
5,-19.34,25.44,-33.16,46.06
6,-19.5,25.07,-32.9,45.73
7,-19.46,25.21,-33.36,46.13
8,-19.8,25.29,-32.91,45.99
9,-19.49,25.35,-32.99,45.95
10,-19.38,25.11,-33.31,45.99
